-1.000000000000000000e+01,-9.995580000000000354e+00
-9.000000000000000000e+00,-8.995889999999999276e+00
-8.000000000000000000e+00,-7.996240000000000236e+00
-7.000000000000000000e+00,-6.996909999999999741e+00
-6.000000000000000000e+00,-5.997230000000000061e+00
-5.000000000000000000e+00,-4.997670000000000279e+00
-1.000000000000000000e+00,-9.992999999999999661e-01
0.000000000000000000e+00,2.910000000000000260e-04
1.000000000000000000e+00,9.999909999999999632e-01
2.000000000000000000e+00,1.999640000000000084e+00
6.000000000000000000e+00,5.997910000000000075e+00
9.000000000000000000e+00,8.996579999999999799e+00
1.000000000000000000e+01,9.995879999999999654e+00
